name,price,currency
 Мобільний телефон Apple iPhone 13 128GB Pink (MLPH3HU/A), 35 999,₴
 Мобільний телефон Samsung Galaxy S22 8/128 GB Phantom Black (SM-S901BZKDSEK), 29 499,₴
 Мобільний телефон Samsung Galaxy S22 8/128GB Light Violet (SM-S901BLVDSEK), 29 499,₴
 Мобільний телефон Samsung Galaxy S22 8/256 GB Phantom Black (SM-S901BZKGSEK), 31 799,₴
 Мобільний телефон Samsung Galaxy S22 8/256GB Light Violet (SM-S901BLVGSEK), 31 799,₴
Відгуки покупців про Мобільний телефон Samsung Galaxy S22 8/128 GB Phantom Black (SM-S901BZKDSEK),,
Відгуки покупців про Мобільний телефон Xiaomi Redmi Note 11 4/128 GB Star Blue,,
 Мобільний телефон Samsung Galaxy S22 8/128 GB Green (SM-S901BZGDSEK), 29 499,₴
 Мобільний телефон Xiaomi Redmi Note 11 4/128 GB Twilight Blue, 8 499,₴
 Мобільний телефон Xiaomi Redmi Note 11 4/128 GB Star Blue, 8 499,₴
 Мобільний телефон Nokia G11 3/32 Chacoal, 4 499,₴
Відгуки покупців про Мобільний телефон ZTE Blade V40 6/128GB Blue,,
 Мобільний телефон Nokia G11 3/32 Ice, 4 499,₴
Відгуки покупців про Мобільний телефон Nokia G11 3/32 Chacoal,,
 Мобільний телефон ZTE Blade V40 6/128GB Green, 6 799,₴
 Мобільний телефон ZTE Blade V40 6/128GB Black, 6 799,₴
Відгуки покупців про Мобільний телефон Apple iPhone 13 512GB Green (MNGM3HU/A),,
 Мобільний телефон Apple iPhone 13 512GB Pink (MLQE3HU/A), 50 999,₴
 Мобільний телефон Apple iPhone 13 512GB (PRODUCT) Red (MLQF3HU/A), 50 999,₴
 Мобільний телефон Apple iPhone 13 512GB Blue (MLQG3HU/A), 50 999,₴
 Мобільний телефон Apple iPhone 13 512GB Midnight (MLQC3HU/A), 50 999,₴
 Мобільний телефон Apple iPhone 13 512GB Green (MNGM3HU/A), 50 999,₴
Відгуки покупців про Мобільний телефон Xiaomi Redmi Note 11 Pro 6/128GB Pearl White,,
 Мобільний телефон Xiaomi Redmi Note 11 Pro 6/128GB Graphite Gray, 11 999,₴
Відгуки покупців про Мобільний телефон Samsung Galaxy A04 4/64GB Copper (SM-A045FZCGSEK),,
 Мобільний телефон Xiaomi Redmi Note 11 Pro 6/128GB Star Blue, 11 999,₴
 Мобільний телефон Xiaomi Redmi Note 11 Pro 6/128GB Pearl White, 11 999,₴
 Мобільний телефон Samsung Galaxy A04 4/64GB Copper (SM-A045FZCGSEK), 5 499,₴
 Мобільний телефон Samsung Galaxy A04 4/64GB Green (SM-A045FZGGSEK), 5 499,₴
Відгуки покупців про Мобільний телефон Samsung Galaxy A04s 4/64GB Copper (SM-A047FZCVSEK),,
 Мобільний телефон Samsung Galaxy A04 4/64GB Black (SM-A045FZKGSEK), 5 499,₴
 Мобільний телефон Samsung Galaxy A04s 4/64GB Black (SM-A047FZKVSEK), 5 999,₴
