name,price,currency
Відгуки покупців про Адаптер Maxxter USB 2.0 - RJ-45 NEA-U2-01,,
 Адаптер RZTK DVI (24+1) male to VGA female 0.15 м Black, 175,₴
 Адаптер Maxxter USB 2.0 - RJ-45 NEA-U2-01, 289,₴
 Кабель синхронізації Intaleo CBFLEXTT1 Type-C to Type-C 1.2 м 18 Вт Чорний (1283126504082), 189,₴
 Кабель Promate PowerLink-Ai120 USB to Lightning 2.4 А 1.2 м White (powerlink-ai120.white), 299,₴
 Кабель Promate PowerLink-Ai200 USB to Lightning 2.4 А 2 м White (powerlink-ai200.white), 319,₴
 Кабель Promate PowerLink-Ai120 USB to Lightning 2.4 А 1.2 м Black (powerlink-ai120.black), 239,₴
 Кабель Grand-X USB Type-C FC-12B 3A 1.2 м Black (FC-12B), 199,₴
Відгуки покупців про Кабель Promate PowerLink-Ai200 USB to Lightning 2.4 А 2 м White (powerlink-ai200.white),,
Відгуки покупців про Кабель Grand-X USB Type-C FC-12G 3A 1.2 м Grey (FC-12G),,
 Кабель Grand-X USB Type-C FC-12G 3A 1.2 м Grey (FC-12G), 199,₴
Відгуки покупців про Кабель Promate PowerBeam-M USB — microUSB 1.2 м Red (powerbeam-m.red),,
 Кабель Promate PowerBeam-M USB — microUSB 1.2 м Red (powerbeam-m.red), 109,₴
 Кабель Promate PowerBeam-M USB — microUSB 1.2 м Blue (powerbeam-m.blue), 99,₴
 Кабель RZTK USB 2.0 AM - BM 1.8 м Black, 45,₴
Відгуки покупців про Кабель RZTK USB 2.0 AM - BM 1.8 м Black,,
 Кабель Promate PentaPower USB-C / USB-А to USB-C / microUSB / Lightning 1.2 м Grey (pentapower.grey), 499,₴
Відгуки покупців про Кабель USB Cable Gelius Contact GP-UC111 60 W Type-C/Type-C White 1 м (2099900851568),,
Відгуки покупців про Кабель ArmorStandart AR87 USB to Type-C 3A 1.2 м Black (ARM64039),,
 Кабель RZTK USB 2.0 AM - BM 1.8 м White, 45,₴
 Кабель USB Cable Gelius Contact GP-UC111 60 W Type-C/Type-C White 1 м (2099900851568), 199,₴
 Кабель ArmorStandart AR87 USB to Type-C 3A 1.2 м Black (ARM64039), 209,₴
Відгуки покупців про Кабель Promate PentaPower USB-C / USB-А to USB-C / microUSB / Lightning 1.2 м Black (pentapower.black),,
Відгуки покупців про Кабель Baseus Rapid Series 3-in-1 cable 1.2 m for IP+Micro+Type-C Dark Blue (CAJS000003),,
 Кабель Baseus Cafule 4K HDMI Male To HDMI Male 1 м (CADKLF-E01), 199,₴
Відгуки покупців про Кабель Promate MediaCord-8K USB-C to HDMI in 1.8 м Grey (mediacord-8k.grey),,
 Кабель Baseus Rapid Series 3-in-1 cable 1.2 m for IP+Micro+Type-C Dark Blue (CAJS000003), 279,₴
 Кабель Promate MediaCord-8K USB-C to HDMI in 1.8 м Grey (mediacord-8k.grey), 1 799,₴
Відгуки покупців про Кабель Baseus Cafule 4K HDMI Male To HDMI Male 1 м (CADKLF-E01),,
 Кабель Promate PowerLink-120 USB-C to Lightning 3 А 1.2 м Black (powerlink-120.black), 399,₴
 Кабель Promate PowerLink-300 USB-C to Lightning 3 А 3 м Black (powerlink-300.black), 499,₴
 Кабель Promate PowerLink-120 USB-C to Lightning 3А 1.2 м Blue (powerlink-120.blue), 399,₴
Відгуки покупців про Адаптер Cablexpert USB-C to Gigabit network (A-CM-LAN-01),,
 Адаптер Cablexpert USB-C to Gigabit network (A-CM-LAN-01), 549,₴
 Кабель Promate PowerLink-120 USB-C to Lightning 3А 1.2 м White (powerlink-120.white), 299,₴
Відгуки покупців про Кабель Promate PowerLink-120 USB-C to Lightning 3 А 1.2 м Black (powerlink-120.black),,
 Кабель Baseus Cafule Cable USB for Lightning Special Edition 2.4 A 1 м Red (CALKLF-G09), 159,₴
